Institution Name,Full Time Enrollment,State,Ranking List,Rank,Rank Pct Rank,Undergraduate Admit Rate,Undergraduate Admit Rate Pct Rank,Average Monthly Search Volume,Average Monthly Search Volume Pct Rank,Credential Score,Student Life Grade,Student Life Score,Experience Score,15-Year NPV,15-Year NPV PCT Rank,30-Year NPV,30-Year NPV PCT Rank,Instructional Wages per Full-Time Student,Instructional Wages per Full-Time Student PCT Rank,Eduation Score,Average Undergraduate Tuition and Fees,Average Undergraduate Tuition & Fees Score,"Value
(C x E x E)",Value-to-Cost Ratio,Endowment per Full Time Student,Endowment per Full Time Student Pct Rank,Percentage of International Students,Percentage of International Students PCT Rank,Vulnerability Score,Prof G Categorization
Adelphi University,6562,NY,USN National University Ranking,166,0.28,0.741811472,0.291,60500,0.695,1.266,B+,4,2.4,318000,0.693,888000,0.732,8995,0.491,1.916,38740,0.51,5.8215744,0.422772288,28737.97272,0.696,0.03,0.389,1.085,Perish
Agnes Scott College,998,GA,USN National College Ranking,58,0.74,0.704,0.383,14800,0.193,1.316,A,4.66,2.796,213000,0.102,596000,0.093,10013,0.597,0.792,41160,0.565,2.914192512,0.191031958,229885.5912,0.163,0.04,0.498,0.661,Struggle
Albion College,1509,MI,USN National College Ranking,140,0.376,0.682442026,0.431,18100,0.258,1.065,C+,3,1.8,282000,0.519,744000,0.439,7170,0.235,1.193,45590,0.677,2.286981,0.125115214,115513.3353,0.316,0.01,0.068,0.384,Struggle
Allegheny College,1724,PA,USN National College Ranking,82,0.639,0.636064975,0.515,22200,0.331,1.485,B,3.66,2.196,277000,0.471,773000,0.528,10638,0.665,1.664,47540,0.718,5.42640384,0.279913538,128094.9623,0.291,0.04,0.498,0.789,Struggle
American University,11435,DC,USN National University Ranking,77,0.66,0.315423515,0.838,110000,0.87,2.368,B,3.66,2.196,296000,0.606,890000,0.734,8116,0.393,1.733,48459,0.741,9.011821824,0.450433439,59154.35068,0.511,0.03,0.389,0.9,Thrive
Amherst College,1855,MA,USN National College Ranking,2,0.996,0.128149748,0.952,60500,0.695,2.643,A+,5,3,382000,0.867,1015000,0.878,18413,0.913,2.658,56426,0.986,21.075282,0.791649087,1281691.238,0.019,0.07,0.672,0.691,Thrive
Arizona State University-Tempe,46180,AZ,USN National University Ranking,117,0.497,0.847779969,0.087,165000,0.935,1.519,A+,5,3,322000,0.709,786000,0.556,10598,0.659,1.924,19579,0.187,8.767668,1.736515746,15603.39974,0.843,0.06,0.64,1.483,Survive
Auburn University,25806,AL,USN National University Ranking,104,0.547,0.754266705,0.277,135000,0.9,1.724,A+,5,3,273000,0.446,748000,0.457,6521,0.137,1.04,20900,0.217,5.37888,0.918054275,29892.42149,0.689,0.01,0.068,0.757,Thrive
Augustana College,2534,IL,USN National College Ranking,92,0.589,0.636934471,0.509,27100,0.414,1.512,A-,4.33,2.598,285000,0.528,791000,0.567,6303,0.102,1.197,42135,0.592,4.702026672,0.294170838,66351.1472,0.465,0.11,0.812,1.277,Perish
Austin College,1295,TX,USN National College Ranking,117,0.497,0.553235908,0.662,18100,0.258,1.417,C+,3,1.8,278000,0.48,748000,0.457,6869,0.192,1.129,39960,0.54,2.8796274,0.197505309,109462.9768,0.325,0.01,0.068,0.393,Struggle
Azusa Pacific University,7194,CA,USN National University Ranking,228,0.14,0.685109845,0.426,40500,0.55,1.116,B,3.66,2.196,274000,0.45,772000,0.524,10085,0.608,1.582,38880,0.514,3.877064352,0.279367658,12081.45413,0.888,0,0,0.888,Struggle
Baker University,1119,KS,USN National University Ranking,254,0.081,0.87654321,0.065,12100,0.142,0.288,A,4.66,2.796,307000,0.645,807000,0.601,6311,0.109,1.355,29830,0.375,1.09111104,0.107764053,34452.62556,0.655,0.03,0.389,1.044,Perish
Ball State University,15926,IN,USN National University Ranking,192,0.222,0.647782224,0.49,60500,0.695,1.407,A-,4.33,2.598,252000,0.295,652000,0.173,7465,0.29,0.758,18182,0.153,2.770782588,0.670729264,13453.35257,0.868,0,0,0.868,Thrive
Bard College,2121,NY,USN National College Ranking,62,0.73,0.645594242,0.495,49500,0.629,1.854,C,2.66,1.596,177000,0.038,564000,0.052,21360,0.947,1.037,54680,0.913,3.068466408,0.124476346,69833.50919,0.44,0.17,0.947,1.387,Perish
Barnard College,2519,NY,USN National College Ranking,25,0.895,0.139166772,0.941,60500,0.695,2.531,A+,5,3,343000,0.782,907000,0.768,12969,0.791,2.341,55032,0.933,17.775213,0.705617602,136997.6181,0.266,0.12,0.826,1.092,Survive
Bates College,1832,ME,USN National College Ranking,21,0.911,0.177878985,0.911,33100,0.472,2.294,A,4.66,2.796,326000,0.732,902000,0.759,12349,0.757,2.248,53794,0.869,14.41872595,0.614530365,172259.2806,0.216,0.1,0.78,0.996,Survive
Baylor University,16451,TX,USN National University Ranking,79,0.655,0.389450692,0.785,165000,0.935,2.375,A-,4.33,2.598,241000,0.221,743000,0.434,8764,0.473,1.128,45542,0.675,6.960042,0.381895309,79677.89192,0.396,0.03,0.389,0.785,Struggle
Bellarmine University,2762,KY,USN National University Ranking,197,0.211,0.858355917,0.074,22200,0.331,0.616,A-,4.33,2.598,256000,0.331,701000,0.304,8303,0.421,1.056,42200,0.597,1.689988608,0.104844507,24208.72303,0.744,0.01,0.068,0.812,Struggle
Belmont University,7521,TN,USN National University Ranking,166,0.28,0.824725944,0.136,74000,0.781,1.197,A-,4.33,2.598,177000,0.038,606000,0.098,6821,0.18,0.316,34310,0.437,0.982698696,0.083286609,29388.13256,0.694,0.01,0.068,0.762,Struggle
